site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,CBC012R,GREECE,Purchase Order,144956,O,Rolling components,12,2,23-01-2025,14-02-2025,57,4,4,25,CBC012R4
GREECE,CBC013L,GREECE,Purchase Order,144956,O,Rolling components,31,11,23-01-2025,14-02-2025,11,1,1,11,CBC013L1
GREECE,CBC013R,GREECE,Purchase Order,144897,O,Rolling components,35,1,29-11-2024,29-01-2025,18,3,1,9,CBC013R1
GREECE,CBC013R,GREECE,Purchase Order,144924,O,Rolling components,64,8,19-12-2024,29-01-2025,18,3,2,9,CBC013R2
GREECE,CBC013R,GREECE,Purchase Order,144956,O,Rolling components,50,9,23-01-2025,14-02-2025,18,3,3,9,CBC013R3
GREECE,CBC014R,GREECE,Purchase Order,144956,O,Rolling components,43,1,23-01-2025,14-02-2025,1,1,1,1,CBC014R1
GREECE,CBC015L,GREECE,Purchase Order,144831 BOII,O,Rolling components,2,3,15-10-2024,29-01-2025,5,2,1,3,CBC015L1
GREECE,CBC015L,GREECE,Purchase Order,144956,O,Rolling components,58,2,23-01-2025,14-02-2025,5,2,2,2,CBC015L2
GREECE,CBC016R,GREECE,Purchase Order,144897,O,Rolling components,56,1,29-11-2024,29-01-2025,1,1,1,1,CBC016R1
GREECE,CBC017L,GREECE,Purchase Order,144924,O,Rolling components,54,2,19-12-2024,29-01-2025,8,2,1,2,CBC017L1
GREECE,CBC017L,GREECE,Purchase Order,144956,O,Rolling components,47,6,23-01-2025,14-02-2025,8,2,2,6,CBC017L2
GREECE,CBC017R,GREECE,Purchase Order,144924,O,Rolling components,55,9,19-12-2024,29-01-2025,9,1,1,9,CBC017R1
GREECE,CBC018L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,61,2,23-01-2025,14-02-2025,2,1,1,2,CBC018L1
GREECE,CBC018R,GREECE,Purchase Order,144956,O,Rolling components,121,2,23-01-2025,14-02-2025,2,1,1,2,CBC018R1
GREECE,CBC021L,GREECE,Purchase Order,144924,O,Rolling components,26,2,19-12-2024,29-01-2025,4,2,1,2,CBC021L1
GREECE,CBC021L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,62,2,23-01-2025,14-02-2025,4,2,2,2,CBC021L2
GREECE,CBC021R,GREECE,Purchase Order,144924,O,Rolling components,27,1,19-12-2024,29-01-2025,1,1,1,1,CBC021R1
GREECE,CBC022L,GREECE,Purchase Order,144924,O,Rolling components,34,1,19-12-2024,29-01-2025,2,2,1,1,CBC022L1
GREECE,CBC022L,GREECE,Purchase Order,144956,O,Rolling components,26,1,23-01-2025,14-02-2025,2,2,2,1,CBC022L2
GREECE,CBC022R,GREECE,Purchase Order,144897,O,Rolling components,33,1,29-11-2024,29-01-2025,5,2,1,5,CBC022R1
GREECE,CBC022R,GREECE,Purchase Order,144924,O,Rolling components,60,4,19-12-2024,29-01-2025,5,2,2,5,CBC022R2
GREECE,CBC023R,GREECE,Purchase Order,144897,O,Rolling components,59,1,29-11-2024,29-01-2025,2,2,1,1,CBC023R1
