rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier_x,customer/total/bo/qty,actual/stock,total/number/bo,index/part/number,supplier_y,purchase/order/quantity,eta,total/po/qty,total/number/of/po,final/po/qty,eta/status
904652.0,14,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC035L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ BMW,13.68,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,5.0,1.0,161.0,UR,2.0,0.0,1.0,CBC035L1,Rolling components,2,29-01-2025,3,2,3,1
912650.0,27,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC051L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ CITROEN,19.2,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,8.0,1.0,161.0,UR,3.0,0.0,2.0,CBC051L1,Rolling components,1,29-01-2025,6,3,1,1
911500.0,25,08-01-2025,NON EUR1 - BACK ORDER,39269.0,(GAZ) COMLINE IRELAND LIMITED,CBC051L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ CITROEN,19.2,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,8.0,1.0,161.0,UR,3.0,0.0,2.0,CBC051L1,Rolling components,1,29-01-2025,6,3,1,1
906952.0,42,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC100L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ CITROEN-PEUGEOT,18.08,2.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,5.0,1.0,161.0,UR,1.0,0.0,1.0,CBC100L1,Rolling components,2,29-01-2025,10,3,8,1
912650.0,25,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC048L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FIAT,18.24,9.0,0.0,7.0,0.0,2.0,0.0,55014|2,0.0,,,0.0,IE0109001,,SPECIAL,1.0,0.0,1.0,11.0,1.0,161.0,UR,9.0,0.0,2.0,CBC048L1,Rolling components,5,29-01-2025,11,2,5,1
900927.0,38,29-10-2024,NON EUR1 - CALIPER+CVJOINT+STSUP+WBK,202305.0,(GAZ) COMLINE IRELAND LIMITED,CBC048L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FIAT,18.24,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,1.0,0.0,1.0,11.0,1.0,161.0,UR,9.0,0.0,2.0,CBC048L1,Rolling components,5,29-01-2025,11,2,5,1
904652.0,12,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC030L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FORD,15.55,8.0,0.0,7.0,0.0,1.0,0.0,54122|1,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,18.0,1.0,161.0,UR,10.0,0.0,2.0,CBC030L1,Rolling components,12,29-01-2025,18,3,12,1
912650.0,17,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC032L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FORD,18.25,2.0,0.0,1.0,0.0,1.0,0.0,55014|1,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,1.0,1.0,161.0,UR,1.0,0.0,1.0,CBC032L1,CAP,1,14-02-2025,1,1,1,1
912653.0,7,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC030L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FORD,15.55,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,18.0,1.0,161.0,UR,10.0,0.0,2.0,CBC030L1,Rolling components,12,29-01-2025,18,3,12,1
912653.0,2,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC005L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ FORD-MAZDA-VOLVO,18.26,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,7.0,1.0,161.0,UR,3.0,0.0,1.0,CBC005L1,Rolling components,2,29-01-2025,13,4,6,1
912650.0,10,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC015L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ HONDA,21.25,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,5.0,1.0,161.0,UR,4.0,0.0,2.0,CBC015L1,Rolling components,3,29-01-2025,5,2,3,1
897549.0,26,08-10-2024,NON EUR1 CALIPER+WBK,197606.0,(GAZ) COMLINE IRELAND LIMITED,CBC015L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ HONDA,21.25,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,5.0,1.0,161.0,UR,4.0,0.0,2.0,CBC015L1,Rolling components,3,29-01-2025,5,2,3,1
906952.0,38,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC031L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ MINI,21.52,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,3.0,1.0,161.0,UR,1.0,0.0,1.0,CBC031L1,Rolling components,1,29-01-2025,1,1,1,1
906952.0,35,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC003L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,16.7,9.0,0.0,9.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SLOW,1.0,0.0,0.0,67.0,1.0,161.0,UR,48.0,1.0,2.0,CBC003L1,Rolling components,8,29-01-2025,79,4,19,1
912650.0,3,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC003L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,16.7,44.0,0.0,39.0,0.0,5.0,0.0,55014|5,0.0,,,0.0,IE0109001,,SLOW,1.0,0.0,0.0,67.0,1.0,161.0,UR,48.0,1.0,2.0,CBC003L1,Rolling components,8,29-01-2025,79,4,19,1
904652.0,22,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC120L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,17.3,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,11.0,1.0,161.0,UR,9.0,0.0,2.0,CBC120L1,Rolling components,2,29-01-2025,13,3,5,1
912653.0,20,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC120L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,17.3,8.0,0.0,7.0,0.0,1.0,0.0,55015|1,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,11.0,1.0,161.0,UR,9.0,0.0,2.0,CBC120L1,Rolling components,2,29-01-2025,13,3,5,1
904652.0,16,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC050L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ PEUGEOT,20.4,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,8.0,1.0,161.0,UR,3.0,0.0,2.0,CBC050L1,Rolling components,2,29-01-2025,6,3,2,1
