REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,PRIORITY CODE,PRSYPAPPSEC,CURRENT STOCK,SALES ORDERS,BACKORDER,CUSTOMER TOTAL BO QTY,SALES-BACK ORDER,ACTUAL STOCK,ETA,FINAL PO QTY,NUMBER OF DAYS ETA,RELEASE,NOTE
900935.0,29-10-2024,NON EUR1 - BRAKE DISC+BRAKE PAD,202307.0,(GAZ) COMLINE IRELAND LIMITED,CBP02399,16.55,3.0,V-SLOW,0.0,0.0,0.0,3.0,3.0,14.0,0.0,2025-02-26,27.0,24.0,0.0,done
906955.0,03-12-2024,NON EUR1 BRAKE PAD,209106.0,(GAZ) COMLINE IRELAND LIMITED,CBP02854,16.0,7.0,V-SLOW,0.0,52.0,0.0,6.0,18.0,18.0,52.0,2025-05-06,54.0,93.0,18.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP02854,16.0,14.0,V-SLOW,0.0,52.0,0.0,12.0,18.0,18.0,52.0,2025-05-06,54.0,93.0,18.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP16013,11.56,5.0,V-SLOW,0.0,0.0,0.0,5.0,7.0,7.0,0.0,,,,0.0,done
906955.0,03-12-2024,NON EUR1 BRAKE PAD,209106.0,(GAZ) COMLINE IRELAND LIMITED,CBP16013,11.56,2.0,V-SLOW,0.0,0.0,0.0,2.0,7.0,7.0,0.0,,,,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP22121,13.45,2.0,SLOW,0.0,0.0,0.0,1.0,1.0,29.0,0.0,2025-03-26,54.0,52.0,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP03697,7.69,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,0.0,done
900935.0,29-10-2024,NON EUR1 - BRAKE DISC+BRAKE PAD,202307.0,(GAZ) COMLINE IRELAND LIMITED,CBP06092,9.79,1.0,SLOW,0.0,50.0,6.0,1.0,3.0,6.0,44.0,2025-03-26,54.0,52.0,3.0,back/order/qty
902083.0,05-11-2024,NON EUR1 BRAKE PAD,203407.0,(GAZ) COMLINE IRELAND LIMITED,CBP06092,9.79,2.0,SLOW,0.0,50.0,6.0,2.0,3.0,6.0,44.0,2025-03-26,54.0,52.0,3.0,back/order/qty
911500.0,08-01-2025,NON EUR1 - BACK ORDER,39269.0,(GAZ) COMLINE IRELAND LIMITED,CBP02318,7.24,2.0,SLOW,0.0,46.0,1.0,1.0,5.0,13.0,45.0,2025-05-06,63.0,93.0,5.0,back/order/qty
906507.0,01-12-2024,NON EUR1 BACK ORDER,39123.0,(GAZ) COMLINE IRELAND LIMITED,CBP02318,7.24,2.0,SLOW,0.0,46.0,1.0,2.0,5.0,13.0,45.0,2025-05-06,63.0,93.0,5.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP02318,7.24,2.0,SLOW,0.0,46.0,1.0,2.0,5.0,13.0,45.0,2025-05-06,63.0,93.0,5.0,back/order/qty
912646.0,16-01-2025,EUR1 BRAKE PAD,215101.0,(GAZ) COMLINE IRELAND LIMITED,CBP06100,10.54,2.0,OBS,0.0,0.0,0.0,2.0,4.0,8.0,0.0,,,,0.0,done
902075.0,05-11-2024,EUR1 BRAKE PAD + WATER PUMP,203401.0,(GAZ) COMLINE IRELAND LIMITED,CBP06100,10.54,1.0,OBS,0.0,0.0,0.0,1.0,4.0,8.0,0.0,,,,0.0,done
853546.0,01-04-2024,EUR1 - BRAKE PAD,144701.0,(GAZ) COMLINE IRELAND LIMITED,CBP06100,10.16,2.0,OBS,0.0,0.0,0.0,1.0,4.0,8.0,0.0,,,,0.0,done
895003.0,24-09-2024,NON EUR1 BRAKE PAD+BRAKE DISC,194706.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,6.0,MED,0.0,37.0,11.0,6.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
896255.0,01-10-2024,NON EUR1 - BRAKE PAD,196307.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,5.0,MED,0.0,37.0,11.0,5.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
897543.0,08-10-2024,NON EUR1 BRAKE PAD,197604.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,1.0,MED,0.0,37.0,11.0,1.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
898886.0,15-10-2024,NON EUR1 BRAKE PAD,199210.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,4.0,MED,0.0,37.0,11.0,4.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
902083.0,05-11-2024,NON EUR1 BRAKE PAD,203407.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,2.0,MED,0.0,37.0,11.0,2.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
904661.0,19-11-2024,NON EUR1 BRAKE PAD,206306.0,(GAZ) COMLINE IRELAND LIMITED,CBP01713,7.05,13.0,MED,0.0,37.0,11.0,13.0,31.0,44.0,26.0,2025-02-17,90.0,15.0,0.0,release after
