REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,BACKORDER,PRIORITY CODE,CURRENT STOCK,PRSYPAPPSEC,SALES ORDERS,SALES-BACK ORDER,CUSTOMER TOTAL BO QTY,ACTUAL STOCK,ETA,TOTAL PO QTY,TOTAL NUMBER OF PO,FINAL PO QTY,RELEASE,NOTE,NUMBER OF DAYS ETA
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC003R,16.7,13.0,7.0,SLOW,0.0,0.0,0.0,65.0,45.0,0.0,2025-01-29,81.0,4.0,24.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC115R,14.0,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC074R,17.98,1.0,1.0,SPECIAL,0.0,0.0,0.0,12.0,3.0,0.0,2025-01-29,12.0,2.0,3.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC095R,34.1,5.0,5.0,SLOW,0.0,0.0,0.0,72.0,72.0,0.0,2025-01-29,81.0,3.0,20.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC033R,34.1,11.0,3.0,SLOW,0.0,0.0,0.0,18.0,3.0,0.0,2025-01-29,35.0,2.0,24.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC095R,34.1,63.0,59.0,SLOW,0.0,0.0,0.0,72.0,72.0,0.0,2025-01-29,81.0,3.0,20.0,0.0,done,-4.0
902081.0,05-11-2024,NON EUR1 CALIPER + CVJOINT + STSUP + WBK,203405.0,(GAZ) COMLINE IRELAND LIMITED,CBC074R,17.98,2.0,2.0,SPECIAL,0.0,0.0,0.0,12.0,3.0,0.0,2025-01-29,12.0,2.0,3.0,0.0,done,-4.0
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC095R,34.1,12.0,8.0,SLOW,0.0,0.0,0.0,72.0,72.0,0.0,2025-01-29,81.0,3.0,20.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC030R,15.55,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,2025-02-14,1.0,1.0,1.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC146L,17.46,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
