rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier
896189,84,2024/10/01  ,BRAKE PAD,196108,(NEXT) COMLINE IRELAND LIMITED,CBP32023,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. KIA,7.45,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB32023,SLOW,86.00,0.00,30.0,7.0,1,161,A
901135,52,2024/10/30  ,BRAKE PAD,202607,(NEXT) COMLINE IRELAND LIMITED,CBP32023,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. KIA,7.45,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB32023,SLOW,86.00,0.00,30.0,7.0,1,161,A
911870,34,2025/01/10  ,BRAKE PAD,214609,(NEXT) COMLINE IRELAND LIMITED,CBP31288,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. KIA,9.78,5.00,0.0,5,0.0,0.0,0,,0,,,0.0,IE0209001,ADB31288,V-SLOW,0.00,0.00,0.0,7.0,1,161,A
911877,66,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP32442,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MAZDA,10.54,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB32442,SPECIAL,0.00,0.00,0.0,3.0,1,161,CAP
911877,6,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP1455,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,7.55,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB1455,V-SLOW,0.00,0.00,0.0,2.0,1,161,A
901135,89,2024/10/30  ,BRAKE PAD,202607,(NEXT) COMLINE IRELAND LIMITED,CBP0226,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,6.72,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB0226,V-SLOW,0.00,0.00,0.0,13.0,1,161,CAP
896182,38,2024/10/01  ,BRAKE PAD,196105,(NEXT) COMLINE IRELAND LIMITED,CBP06059,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,13.91,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB06059,V-SLOW,45.00,0.00,8.0,3.0,1,161,Z
891620,26,2024/09/03  ,BRAKE PAD,190405,(NEXT) COMLINE IRELAND LIMITED,CBP06059,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,13.91,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB06059,V-SLOW,45.00,0.00,8.0,3.0,1,161,Z
911864,38,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP0220,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,6.7,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB0220,V-SLOW,0.00,0.00,0.0,7.0,1,161,CAP
911864,39,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP02209,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES,10.11,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB02209,V-SLOW,55.00,0.00,0.0,3.0,1,161,Z
911864,59,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP02366,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. MERCEDES-BENZ,8.54,2.00,0.0,1,0.0,1.0,0,54975|1,0,,,0.0,IE0209001,ADB02366,V-SLOW,3.00,0.00,2.0,5.0,1,161,Z
891619,91,2024/09/03  ,BRAKE PAD,190404,(NEXT) COMLINE IRELAND LIMITED,CBP0117,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. OPEL,5.03,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB0117,OBS,0.00,0.00,0.0,4.0,1,161,CAP
911863,37,2025/01/10  ,BRAKE PAD,214606,(NEXT) COMLINE IRELAND LIMITED,CBP01316,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. PORSCHE-AUDI,12.29,3.00,0.0,3,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01316,V-SLOW,0.00,0.00,0.0,12.0,1,161,Z
861339,97,2024/04/01  ,NON EUR1 BRAKE PAD,153611,(NEXT) COMLINE IRELAND LIMITED,CBP01020,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. RENAULT,10.13,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01020,OBS,0.00,0.00,0.0,1.0,1,161,CAP
911877,69,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP33299,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. TOYOTA-MAZDA-SUZUKI,8.61,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB33299,V-SLOW,0.00,0.00,0.0,2.0,1,161,CAP
901132,22,2024/10/30  ,BRAKE PAD,202606,(NEXT) COMLINE IRELAND LIMITED,CBP06027,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. VOLVO,11.48,3.00,0.0,3,0.0,0.0,0,,0,,,0.0,IE0209001,ADB06027,V-SLOW,0.00,0.00,0.0,18.0,1,161,IBERICA
