standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
CBC807RGAZELA,CBC807R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC810LGAZELA,CBC810L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC810RGAZELA,CBC810R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC212LGAZELA,CBC212L,GAZELA,GAZELA,,No Discount,0,1,1,1,1,
CBC212RGAZELA,CBC212R,GAZELA,GAZELA,,No Discount,0,1,1,1,1,
CBC818LGAZELA,CBC818L,GAZELA,GAZELA,,Target Accepted,0,0,1,1,0,
CBC818RGAZELA,CBC818R,GAZELA,GAZELA,,Target Accepted,0,0,1,1,0,
CBC819LGAZELA,CBC819L,GAZELA,GAZELA,,Target Accepted,0,0,1,2,0,
CBC819RGAZELA,CBC819R,GAZELA,GAZELA,,Target Accepted,0,0,1,2,0,
CMB41065CKAMEILYA/LYNA,CMB41065CK,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,0,1,2,0,
ADB01533ATI,ADB01533,ATI,ATI,,Target Accepted,0,1,1,1,1,
ADB3556ATI,ADB3556,ATI,ATI,,Target Accepted,0,2,1,1,2,
ADC0473VATI,ADC0473V,ATI,ATI,,Target Accepted,0,2,1,2,2,
ADC1241ATI,ADC1241,ATI,ATI,,Target Accepted,0,2,1,1,2,
ADC1260VATI,ADC1260V,ATI,ATI,,Target Accepted,0,16,1,1,16,
ADC1269ATI,ADC1269,ATI,ATI,,Target Accepted,7,6,1,1,6,
ADC1320VATI,ADC1320V,ATI,ATI,,Target Accepted,0,2,1,1,2,
ADC2405VATI,ADC2405V,ATI,ATI,,Target Accepted,0,2,1,1,2,
ADC2513VATI,ADC2513V,ATI,ATI,,Target Accepted,0,2,1,2,2,
ADC2724ATI,ADC2724,ATI,ATI,,Target Accepted,2,4,1,4,4,
ADC3015ATI,ADC3015,ATI,ATI,,Target Accepted,0,4,1,4,4,
EAF1007ATI,EAF1007,ATI,ATI,,Target Accepted,8,45,1,5,45,
EAF613ATI,EAF613,ATI,ATI,,Target Accepted,0,6,1,1,6,
EAF793ATI,EAF793,ATI,ATI,,Target Accepted,0,8,1,1,8,
EAF801ATI,EAF801,ATI,ATI,,Target Accepted,0,3,1,1,3,
EAF829ATI,EAF829,ATI,ATI,,Target Accepted,110,120,1,1,120,
EFF354DATI,EFF354D,ATI,ATI,,Target Accepted,12,20,1,2,20,
EKF117ATI,EKF117,ATI,ATI,,Target Accepted,20,30,1,1,30,
EKF127AATI,EKF127A,ATI,ATI,,Target Accepted,12,17,1,1,10,
EKF191ATI,EKF191,ATI,ATI,,Target Accepted,11,10,1,2,10,
EKF250AATI,EKF250A,ATI,ATI,,Target Accepted,4,10,1,1,4,
EOF236ATI,EOF236,ATI,ATI,,Target Accepted,0,36,1,3,36,
EOF247ATI,EOF247,ATI,ATI,,Target Accepted,2,0,1,2,0,
EOF252ATI,EOF252,ATI,ATI,,Target Accepted,0,4,1,1,4,
ADB01629ATI,ADB01629,ATI,ATI,,Best Offered,18,18,1,1,18,
ADB02199ATI,ADB02199,ATI,ATI,,Best Offered,22,45,2,3,45,
ADB32012ATI,ADB32012,ATI,ATI,,Best Offered,0,2,1,1,2,
ADB3801ATI,ADB3801,ATI,ATI,,Best Offered,7,5,1,1,5,
CDH11631ATI,CDH11631,ATI,ATI,,Best Offered,125,200,1,1,200,
EAF1005ATI,EAF1005,ATI,ATI,,Best Offered,161,150,2,4,150,
EAF1032ATI,EAF1032,ATI,ATI,,Best Offered,360,600,3,6,600,
EAF402ATI,EAF402,ATI,ATI,,Best Offered,120,200,1,2,200,
EAF826ATI,EAF826,ATI,ATI,,Best Offered,0,2,1,2,2,
EAF858ATI,EAF858,ATI,ATI,,Best Offered,467,899,1,3,499,
