Rec ID,Record ID,Date,Description,Document No,Company Name,Part Number,Item description,Unit Price,Qty,Availability,BackOrder,Lost Sales,Closed Qty,Weighed Item,Group,qEnim,Comment,Expected delivery,Balance,Company ID,Third code,Priority code,Current Stock,PrsYpApPSec,Sales Orders,Sales-Back Order,Branch ID,Employee,Supplier
912653,78,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC467L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ SEAT-SKODA,19.44,2.00,0.00,1,0.00,1.00,0,55015|1,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
912653,8,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC033L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ VW,34.10,7.00,0.00,7,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,24.00,1,161,UR
912650,36,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC095L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ VW,34.10,27.00,0.00,26,0.00,1.00,0,55014|1,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,60.00,1,161,UR
906952,39,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC033L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ VW,34.10,10.00,0.00,7,0.00,3.00,0,54388|3,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,24.00,1,161,UR
906952,41,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC095L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ VW,34.10,10.00,0.00,10,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,60.00,1,161,UR
900927,20,2024/10/29  ,NON EUR1 - CALIPER+CVJOINT+STSUP+WBK,202305,(GAZ) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,19.07,4.00,0.00,4,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,56.00,1,161,UR
897939,2,2024/10/09  ,DIR VIA GREECE - NON EUR1 - BRAKE CALIPER,43164101,(GAZ) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,19.07,16.00,0.00,16,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,56.00,1,161,UR
897549,18,2024/10/08  ,NON EUR1 CALIPER+WBK,197606,(GAZ) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,19.07,5.00,0.00,5,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,56.00,1,161,UR
896254,10,2024/10/01  ,NON EUR1 - CALIPER+CVJOINT+BRAKE DISC+WBK,196306,(GAZ) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,19.07,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,56.00,1,161,UR
912653,15,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC063R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI - SEAT - VW,19.07,8.00,0.00,8,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,0.00,0.00,0.00,56.00,1,161,UR
